id,name,date_of_birth,nationality
2031,Dustyn Roberts,1949-01-14,Egyptian
2032,Ian Roberts,1952-06-01,Saudi Arabian
2033,Tim Chester,1947-07-08,British
2034,Datis Kharrazian,1927-03-28,Canadian
2035,Professor Michael Talbot,1963-09-12,French
2036,Wim Hof,1976-12-16,Thai
2037,Gilbert Shelton,1977-07-03,Kenyan
2038,Martin Brundle,1976-03-10,British
2039,Francis Mallmann,1976-11-16,Malaysian
2040,Meghan Casey,1942-07-31,American
2041,Michael Michalko,1922-08-02,Saudi Arabian
2042,Swami Satyananda Saraswati,1987-03-14,Italian
2043,Michael Faudet,1948-11-05,Thai
2044,Hillary Rodham Clinton,1931-06-21,British
2045,Constantine Ziogas,1940-05-30,Japanese
2046,Emily Coxhead,1941-03-13,Malaysian
2047,Pablo Neruda,1920-08-11,Kenyan
2048,Adam Vardy,1963-11-08,Irish
2049,Patrick Hamilton,1953-09-30,Mexican
2050,Akemi Shibata,1930-05-06,French
2051,Padma Aon Prakasha,1920-09-08,Australian
2052,Gyles Brandreth,1982-12-08,Nigerian
2053,Colin Thubron,1985-11-30,Turkish
2054,James Massola,1933-10-12,Nigerian
2055,Sam Newman,1926-08-29,Mexican
2056,Jinny Blom,1978-05-27,Russian
2057,Gelong Thubten,1957-04-20,Canadian
2058,Chris Grabenstein,1946-12-16,American
2059,Julian Cribb,1954-12-15,American
2060,Peter Godfrey-Smith,1935-08-19,Malaysian
2061,Howard Marks,1972-11-07,Chinese
2062,V. Tethras,1955-06-30,Irish
2063,Halle Butler,1953-12-01,Russian
2064,Danny Dyer,1957-08-31,Chinese
2065,Myfanwy Jones,1976-01-16,Indian
2066,Fumio Sasaki,1920-05-27,American
2067,Mike Bubel,1956-09-04,Spanish
2068,Robert L. Leahy,1974-07-19,Mexican
2069,Chuck Palahniuk,1941-01-23,Malaysian
2070,Emma Dabiri,1962-12-29,Brazilian
2071,Fiona Pritchard,1942-06-29,French
2072,Ruth Miskin,1946-11-05,Israeli
2073,Laura Jane Grace,1961-05-04,Israeli
2074,Virginia Shirt,1981-01-31,Jamaican
2075,John Hattie,1975-10-13,Jamaican
2076,John Mallett,1939-06-26,American
2077,William Ury,1954-01-31,Brazilian
2078,Peter Hook,1980-07-02,Korean
2079,Deb Shapiro,1946-09-17,Malaysian
2080,Robert Sabuda,1986-09-11,Brazilian
2081,Richard E. Susskind,1984-02-16,Nigerian
2082,Paul Wilson,1931-01-10,Nigerian
2083,Moorea Seal,1921-02-23,Portuguese
2084,Veechi Stuart,1982-10-24,Thai
2085,Anthony Croft,1971-12-19,Canadian
2086,Clive Oxenden,1988-12-04,Irish
2087,Colin Vogel,1948-06-26,Malaysian
2088,Mary Wanless,1990-02-05,Spanish
2089,Joseph Stiglitz,1972-03-17,Jamaican
2090,Kate Furnivall,1953-09-29,Thai
2091,Gino Wickman,1945-11-29,Israeli
2092,H. Lynn Erickson,1985-02-16,Irish
2093,Ivar Dedekam,1985-12-27,Korean
2094,Jefferson Bethke,1950-11-14,American
2095,Lewis Carroll,1951-05-04,Peruvian
2096,Marie White,1943-07-13,Japanese
2097,Jane Woodlands,1958-03-24,Australian
2098,E. M. Forster,1934-12-14,Kenyan
2099,Ramez Elmasri,1929-01-01,Polish
2100,Harriet Beecher Stowe,1979-10-30,Polish
2101,Miranda Sings,1988-11-10,Brazilian
2102,Neil MacGregor,1987-05-05,Portuguese
2103,John Grogan,1974-03-16,Indian
2104,Barbara Marciniak,1981-04-20,Polish
2105,Anne Sverdrup-Thygeson,1937-01-09,Peruvian
2106,William Zinsser,1942-05-19,American
2107,Christian Dior,1921-08-19,Polish
2108,Edmond Lau,1955-11-29,Japanese
2109,Donna Eden,1948-06-11,Chinese
2110,Cole Nussbaumer Knaflic,1966-04-02,Turkish
2111,David Eagleman,1953-06-17,Portuguese
2112,Lily Collins,1982-12-26,Brazilian
2113,Peter A. Levine,1975-12-30,Portuguese
2114,Roz Chast,1928-04-05,Saudi Arabian
2115,Sandor Ellix Katz,1933-08-31,Portuguese
2116,Walter Murch,1967-10-16,British
2117,Sarah Napthali,1921-12-24,Egyptian
2118,Simon Reeve,1956-05-01,Brazilian
2119,Craig Zacker,1926-09-09,French
2120,Sharon M. Draper,1955-07-17,Mexican
2121,Brene Brown,1977-08-16,American
2122,Penelope Smith,1946-08-15,Portuguese
2123,Daniel Chamovitz,1952-07-26,Egyptian
2124,Nick Ortner,1974-05-10,Japanese
2125,Raymond Buckland,1934-06-10,Indian
2126,Mark Boyle,1984-08-02,Thai
2127,Stephen Rogers Peck,1959-03-22,Irish
2128,Chris Hadfield,1939-10-27,Peruvian
2129,Erin Kelly,1933-11-21,Egyptian
2130,Claire Wellesley-smith,1928-07-27,Australian
2131,Vogue,1926-05-22,Swedish
2132,Kathy Wise,1987-04-17,Chinese
2133,Maureen Little,1963-02-11,Saudi Arabian
2134,Patrick Süskind,1987-07-04,Saudi Arabian
2135,Eric Conrad,1939-08-04,Malaysian
2136,Emma Koenig,1985-04-03,Portuguese
2137,Will Kurt,1929-11-27,Greek
2138,W. E. B. Du Bois,1931-09-13,Brazilian
2139,Derba Wise,1925-06-10,Chinese
2140,Pam Corbin,1972-07-04,Irish
2141,Ishmael Beah,1965-04-28,Jamaican
2142,Eric van der Horst,1957-12-30,Saudi Arabian
2143,T. F. Hoad,1979-02-14,British
2144,Kirsten Bradley,1935-01-02,Mexican
2145,Marisa Peer,1937-03-01,Kenyan
2146,Cameron K Murray,1949-04-07,Polish
2147,Jason Bulmahn,1978-06-07,Malaysian
2148,Alistair Wood,1953-07-19,Nigerian
2149,Jessica Sorensen,1927-03-20,Peruvian
2150,Alex Ferguson,1931-02-28,Egyptian
2151,Michele Morgan,1958-12-15,Portuguese
2152,Tamim Ansary,1955-07-08,Thai
2153,Paul Farrand,1920-09-29,Indian
2154,Owen Johnson,1988-11-16,Thai
2155,Tero Isokauppila,1959-07-28,Thai
2156,P W Singer,1965-08-25,Jamaican
2157,Anastasia Young,1955-01-16,Indian
2158,Ricardo Cortes,1986-08-01,Mexican
2159,John Dibbs,1966-08-05,Peruvian
2160,Jacqueline Lecanuet,1989-03-28,French
2161,Knock Knock,1989-08-13,Australian
2162,Rohan Anderson,1930-04-05,Malaysian
2163,Bruce Shelley,1961-06-30,Korean
2164,Adam Alter,1925-11-09,Canadian
2165,Herbert Schildt,1972-07-28,Turkish
2166,Patrick Baty,1976-06-12,Greek
2167,Guy Martin,1955-02-14,Thai
2168,Maggie Kline,1953-10-08,French
2169,David Squires,1936-01-23,American
2170,Rosamund Young,1986-07-10,Indian
2171,Steve McDonald,1947-05-02,Japanese
2172,Omar Saif Ghobash,1920-07-26,Swedish
2173,Dan Hughes,1924-12-28,Spanish
2174,Claire A. B. Freeland,1984-06-19,Mexican
2175,Esther Derby,1958-10-23,Kenyan
2176,Nancy Bardacke,1937-12-26,Nigerian
2177,Ethan M. Rasiel,1946-04-19,Portuguese
2178,Dan Lok,1923-04-21,Swedish
2179,Pat Barker,1948-08-22,German
2180,Christobel Kent,1956-07-03,Indian
2181,Benj Pasek,1931-09-19,Turkish
2182,Emily Katz,1939-05-06,Spanish
2183,Sharon Lawner Weinberg,1966-09-25,Thai
2184,Walter Wheat,1930-11-01,Irish
2185,Keith Lowe,1968-08-06,Irish
2186,Arthur Ransome,1974-01-08,Australian
2187,Julie Moore,1927-03-30,Indian
2188,Ruth Gerald,1924-02-11,German
2189,Jung Chang,1926-02-06,Korean
2190,Marian Newman,1951-09-04,Russian
2191,Boris Kordemsky,1945-02-16,Swedish
2192,Sir Max Hastings,1990-08-22,Thai
2193,Daniella Moyla,1942-01-15,Spanish
2194,Cathy O'Neill,1965-09-12,Greek
2195,James Bennett-Levy,1925-01-04,Japanese
2196,Will Darbyshire,1975-10-24,Jamaican
2197,Gordon Ramsay,1987-09-24,Peruvian
2198,Gennaro Contaldo,1971-06-27,Canadian
2199,Jenny Brown,1955-01-13,Portuguese
2200,Curtis Faith,1954-10-30,Saudi Arabian
2201,James S. A. Corey,1984-03-29,French
2202,Kurt Schnaubelt,1957-10-30,Kenyan
2203,Christopher Jolly,1989-01-23,Spanish
2204,Charlotte Perkins Gilman,1970-07-24,Peruvian
2205,Daniel J. Siegel,1960-05-02,Nigerian
2206,Emma Gray,1947-11-13,Mexican
2207,Emma Grazette,1950-09-22,Saudi Arabian
2208,Kylie Scott,1950-03-05,Japanese
2209,Melanie Dupuis,1957-02-04,Indian
2210,Georgina Hayden,1938-04-03,German
2211,Frank Strack,1973-12-13,Mexican
2212,Graham Henry,1962-08-07,Kenyan
2213,Matthew B Crawford,1953-11-27,Italian
2214,Barbara Blair,1959-11-12,Indian
2215,Dr Aaron Horschig,1936-07-03,Israeli
2216,Howland Blackiston,1990-04-06,Korean
2217,J. Kenji Lopez-alt,1933-03-24,Swedish
2218,Robert M Hazen,1974-03-25,Peruvian
2219,Michael Gershon,1960-12-23,Egyptian
2220,Drunvalo Melchizedek,1939-10-08,Polish
2221,Richard Hoggart,1966-11-14,Jamaican
2222,Luo Guanzhong,1950-12-14,French
2223,Rena Patten,1936-11-17,Canadian
2224,Erik Kessels,1973-09-30,Peruvian
2225,Linda Pound,1928-10-15,Korean
2226,June Casagrande,1969-12-24,British
2227,Barbara W Tuchman,1922-12-01,Australian
2228,Jez Humble,1958-10-22,Spanish
2229,Gilles Deleuze,1980-08-30,Portuguese
2230,Gabriella Oldham,1932-05-27,Turkish
2231,Carol S Dweck,1920-12-01,Egyptian
2232,Iain McCaig,1952-07-31,Brazilian
2233,Isabel Cisneros,1929-11-19,Saudi Arabian
2234,Julia Quinn,1944-05-06,Thai
2235,Lesley Stanfield,1961-03-04,German
2236,Puffin,1970-11-06,Kenyan
2237,Raymond Chandler,1939-05-30,French
2238,Singapore Asian Publishers,1933-06-24,Malaysian
2239,Harold Caleb Kelly,1972-05-01,Canadian
2240,Don Loffler,1981-01-30,Russian
2241,Peggy Parish,1933-04-21,Portuguese
2242,Jade Gurss,1921-09-22,Greek
2243,Christian Ryan,1944-05-09,American
2244,Xenophon,1964-06-24,Canadian
2245,Kristin Ohlson,1963-05-19,Irish
2246,Frank Turner,1977-09-05,American
2247,John Douglas,1948-11-21,Spanish
2248,Daria Gabryanczyk,1988-09-16,Mexican
2249,Omar Khayyam,1986-11-23,Spanish
2250,Nick Morgan,1946-07-17,Kenyan
2251,Susun S. Weed,1963-09-13,French
2252,Lara Adrian,1927-01-28,Swedish
2253,Associate Professor School of Law David Clark Ph.D.,1961-02-12,Thai
2254,Hal Leonard,1966-07-16,Irish
2255,Kristina Carrillo-bucaram,1952-03-21,Israeli
2256,Harry Tomlinson,1925-04-12,German
2257,Julian Goater,1920-11-08,Jamaican
2258,Lauren Child,1984-08-13,Kenyan
2259,Simon Sebag Montefiore,1941-12-23,Australian
2260,Trudy and Jones Rachel Baker,1951-02-21,Kenyan
2261,Donald A. Norman,1954-10-16,Indian
2262,Thornton Waldo Burgess,1932-07-10,Italian
2263,Jane Bennett,1954-06-28,Irish
2264,Barry Eaton,1977-10-23,Jamaican
2265,Adam Weismann,1932-05-27,Greek
2266,Dave DeWitt,1946-10-20,Brazilian
2267,Corrie Ten Boom,1985-01-09,French
2268,Patricia Lockwood,1969-08-04,Peruvian
2269,Martin Shaw,1985-07-26,Italian
2270,Michael J. Sandel,1982-12-12,Swedish
2271,Craig Smith,1950-01-02,Jamaican
2272,Ricki Carroll,1969-04-12,Brazilian
2273,Mamrie Hart,1948-08-31,Turkish
2274,Ian B. Wilkinson,1972-07-18,Portuguese
2275,Deena Kastor,1943-06-19,Greek
2276,Steve Epting,1990-07-14,Mexican
2277,Jill Bolte Taylor,1977-11-01,Australian
2278,Ilse Crawford,1937-07-14,Jamaican
2279,Richard Moore,1976-07-09,Saudi Arabian
2280,Chapo Trap House,1989-06-18,Chinese
2281,Lisa Phifer,1931-08-29,Russian
2282,Emily Bronte,1986-02-10,Mexican
2283,Fiona Humberstone,1926-12-12,American
2284,Xavier Deneux,1928-03-17,Indian
2285,Jonathan Rasmusson,1948-11-16,Israeli
2286,Felicity O'Dell,1976-03-16,French
2287,Ruby Wax,1978-09-07,Italian
2288,Annie Ernaux,1977-09-20,Mexican
2289,Chip Heath,1967-07-16,Irish
2290,Sian Brown,1947-04-09,German
2291,David Lipsky,1972-10-17,Egyptian
2292,Byron Katie,1925-11-14,American
2293,Alex Bradbury,1952-06-24,Canadian
2294,René Redzepi,1959-12-29,British
2295,Albert Einstein,1926-06-15,Jamaican
2296,Dr. Wayne W. Dyer,1926-04-11,British
2297,Sato Watanabe,1978-07-13,Irish
2298,Mary Aiken,1971-11-13,Canadian
2299,Gary Chester,1987-08-20,Kenyan
2300,Alan Duff,1920-04-24,Egyptian
2301,Laura Lynne Jackson,1985-03-11,Thai
2302,Bruce Schneier,1923-12-19,Indian
2303,Carmen Maria Machado,1978-11-10,Irish
2304,Louise Doughty,1954-12-21,German
2305,Casey   Makela,1967-07-15,Peruvian
2306,Rebecca A. Moyes,1966-07-06,Irish
2307,Susan O'Brien,1968-01-11,Australian
2308,MR Peter Kang,1931-09-19,Turkish
2309,Ann Droyd,1968-11-22,American
2310,Ruth Hogan,1929-12-17,Japanese
2311,Esme Weijun Wang,1976-12-26,Peruvian
2312,Peter Morgan,1963-06-04,Irish
2313,Jennifer Tran,1934-03-27,Greek
2314,Paul Knorr,1926-02-26,Australian
2315,Karen Wynn Fonstad,1946-05-07,Italian
2316,Alex Johnson,1934-02-06,Peruvian
2317,Jamaica Kincaid,1969-09-25,Indian
2318,Beccy Hands,1928-03-03,Indian
2319,Shelley Cox,1979-03-12,Mexican
2320,Erin Odya,1964-02-07,Australian
2321,Lee Holmes,1922-09-01,Brazilian
2322,Taeko Kamiya,1962-03-08,Mexican
2323,Lissa Rankin,1974-07-23,Jamaican
2324,David Darling,1942-11-29,Spanish
2325,Dr. Roberto Canessa,1947-02-02,French
2326,Antoine   Saint-Exupéry,1923-05-13,Mexican
2327,Kevin Dutton,1959-12-13,Greek
2328,TAYLOR JENKINS REID,1947-05-24,Italian
2329,Sri Ramana Maharshi,1957-10-19,Greek
2330,Bob Kauflin,1942-12-30,Spanish
2331,Judith McNaught,1972-05-23,Mexican
2332,Rick Kirkman,1923-06-28,Nigerian
2333,John Townsend,1975-07-16,Indian
2334,Susan Ee,1968-06-13,Turkish
2335,Christian F. Nissen,1943-03-26,Japanese
2336,Henry Cole,1950-05-27,Indian
2337,Curtis Sittenfeld,1990-11-15,Mexican
2338,Nancy Faber,1939-10-04,Spanish
2339,Patrick Engebretson,1933-04-02,Spanish
2340,Nicole Pisani,1988-03-14,British
2341,Philippa Pearce,1952-03-30,Brazilian
2342,Ellee Seymour,1948-07-20,Chinese
2343,Derek Sivers,1977-07-06,Polish
2344,Poldark,1945-08-21,Polish
2345,Martin Pistorius,1976-03-20,Japanese
2346,Michael Pearson,1969-06-11,Korean
2347,Marie Anne Adelaide Lenormand,1978-05-19,Russian
2348,Chinelo Bally,1924-08-19,Korean
2349,Hal Higdon,1929-10-08,Mexican
2350,DK Eyewitness,1945-06-20,Korean
2351,Peter J. D'Adamo,1951-08-22,Polish
2352,Matthew McKay,1928-07-31,Portuguese
2353,Adam Christopher,1923-09-09,French
2354,Linda Ward Beech,1946-12-05,Italian
2355,Evelyn Welch,1974-11-01,Jamaican
2356,Debi Pearl,1929-02-06,Peruvian
2357,David Walliams,1966-11-16,Korean
2358,Rosie Martin,1921-07-09,French
2359,Christopher Tolkien,1964-08-03,Irish
2360,Jackie Strachan,1946-05-15,Chinese
2361,Eugen Herrigel,1952-06-10,Korean
2362,J. Philip Miller,1921-12-31,Indian
2363,Lyssa Adkins,1981-08-20,Egyptian
2364,Miranda Hart,1947-12-16,Peruvian
2365,Tove Jansson,1985-03-11,Australian
2366,Giorgia Lupi,1942-05-27,Thai
2367,Alexander Solzhenitsyn,1984-11-26,Malaysian
2368,Phil Knight,1921-05-27,Jamaican
2369,Chris Cheyette,1960-04-15,Polish
2370,Jay Asher,1930-02-06,Chinese
2371,Greg Natale,1975-12-28,Peruvian
2372,Tom Jones,1938-09-07,Kenyan
2373,Christopher H. Browne,1953-05-13,Korean
2374,Ulf Poschardt,1950-01-07,Jamaican
2375,Louise Milligan,1964-11-11,Malaysian
2376,Beverley Henderson,1978-01-24,British
2377,Nicholas Lodge,1934-07-24,Turkish
2378,Almudena Sanchez,1970-08-20,Greek
2379,DC Comics,1977-03-16,Israeli
2380,Danu Morrigan,1955-08-13,Brazilian
2381,Christopher Dunn,1988-12-03,Nigerian
2382,Scott Aaronson,1935-11-18,Israeli
2383,Heather Smith,1986-01-13,German
2384,Dambisa Moyo,1966-04-18,Nigerian
2385,Kobi Yamada,1929-03-29,Kenyan
2386,Erich Schiffmann,1925-11-23,Kenyan
2387,Christopher George Lewin,1963-07-28,British
2388,S Peter Dance,1981-05-08,Nigerian
2389,Julie Powell,1972-09-22,Spanish
2390,Thomas Sowell,1931-02-14,German
2391,James Baldwin,1931-09-03,American
2392,Henry Eliot,1960-11-13,Indian
2393,Chris Jericho,1927-09-17,Chinese
2394,Steven Bird,1964-12-27,Swedish
2395,Stefan Fischer,1933-02-21,Irish
2396,Deborah Plummer,1924-09-08,Indian
2397,David Bellos,1952-05-18,Australian
2398,Bodleian Library the,1965-11-26,Israeli
2399,John Dewey,1962-09-13,Saudi Arabian
2400,Morgan Matson,1943-10-01,Jamaican
2401,David Herman,1946-10-11,Russian
2402,Michael Smith,1922-02-16,Canadian
2403,Brian Lyles,1974-09-10,Greek
2404,Daniele Benedettelli,1970-12-13,Portuguese
2405,Katie Evans,1934-11-06,British
2406,Eilis Flood,1921-03-11,Portuguese
2407,Deborah Hopkinson,1986-11-28,Thai
2408,Andras Baneth,1953-07-25,Spanish
2409,Gallup Press,1926-09-11,Japanese
2410,Hardie Grant Books,1972-04-22,Saudi Arabian
2411,Albert-Laszlo Barabasi,1939-10-26,French
2412,Jane Patrick,1984-05-14,Israeli
2413,Alisa Vitti,1987-07-01,Nigerian
2414,Barbara Hitchcock,1968-01-24,Japanese
2415,Kelly Brogan,1935-03-14,Australian
2416,Madeleine Albright,1971-11-04,Malaysian
2417,Carl Jung,1966-04-18,Saudi Arabian
2418,Nick Littlehales,1953-05-11,Spanish
2419,Apsley Cherry-Garrard,1934-06-07,Chinese
2420,Margarita Madrigal,1953-05-12,Greek
2421,M. Amos Clifford,1931-01-14,Greek
2422,Nina Chakrabarti,1975-07-22,Turkish
2423,Jenny King,1977-09-03,Chinese
2424,David R. Card,1973-07-17,German
2425,U-Dox,1972-06-25,Malaysian
2426,Paul Kalanithi,1986-02-12,American
2427,Disney - Pixar,1935-09-19,Peruvian
2428,Dave Whitson,1926-04-01,Malaysian
2429,Pearson,1990-12-25,Brazilian
2430,Adele P. Margolis,1942-07-15,Greek
2431,Trudy Ludwig,1980-09-07,Thai
2432,Don Hennessy,1976-11-14,Korean
2433,John Holt,1933-05-25,British
2434,Julie Collins,1984-11-06,French
2435,Ed MD Wheat,1942-10-24,Swedish
2436,Mary Berry,1930-08-26,American
2437,Mike Doyle,1929-01-23,Canadian
2438,Robert Forsyth,1989-06-20,Greek
2439,Giorgio Vasari,1975-09-02,Russian
2440,Galison,1922-11-12,Canadian
2441,Zach Golden,1973-01-07,Irish
2442,Diana Peacock,1924-01-14,Irish
2443,Kevin Horsley,1945-02-17,Spanish
2444,Maureen Garth,1927-09-15,Russian
2445,Peter Jefferson,1987-07-13,Polish
2446,Miles Anderson,1951-06-10,Russian
2447,R. J. Palacio,1920-09-25,British
2448,Dr Howard Thomas Brady,1933-07-09,Indian
2449,Eric Kentley,1980-06-25,Chinese
2450,Sony,1975-09-30,Mexican
2451,Tiffanie Turner,1987-07-06,Korean
2452,John M. Swales,1964-07-10,Korean
2453,Jamie Smart,1974-11-07,French
2454,John Kavanagh,1944-09-01,French
2455,Paul Richer,1948-03-11,French
2456,Antoni Porowski,1974-11-29,Korean
2457,Zoe Foster Blake,1949-01-15,Portuguese
2458,Amor Towles,1971-02-19,Chinese
2459,Helena Attlee,1986-10-11,Kenyan
2460,Bjarki Hallgrimsson,1935-12-10,Peruvian
2461,John Muir Laws,1981-08-22,Kenyan
2462,Colm Cuffe,1977-11-18,French
2463,Tim Winton,1951-11-17,French
2464,Scott Schuman,1932-06-19,Nigerian
2465,Potter Gift,1945-11-27,Egyptian
2466,Philip Delves Broughton,1933-03-06,Italian
2467,Thomas Piketty,1984-09-08,French
2468,Billy Go,1941-05-04,Egyptian
2469,Gustave Flaubert,1935-03-27,Peruvian
2470,Disney Licensed Publishing,1986-08-26,Nigerian
2471,Jacques Ellul,1946-04-09,Turkish
2472,Hideyuki Furuhashi,1931-08-30,Spanish
2473,Roma Agrawal,1930-06-13,American
2474,Tony Hsieh,1971-03-06,Irish
2475,Jurgen Appelo,1975-09-29,Korean
2476,Matthew Thie,1953-04-28,Australian
2477,Ken Norman,1990-07-27,Kenyan
2478,J. Warner Wallace,1972-01-30,Israeli
2479,Mark A. Miodownik,1929-10-31,Spanish
2480,Daniel Ammann,1977-03-25,Italian
2481,Jane Field-Lewis,1971-05-04,American
2482,Hollie McNish,1940-04-26,Jamaican
2483,Matt McLaughlin,1985-12-07,British
2484,Yves Loiseau,1954-02-23,American
2485,E L James,1981-11-26,Irish
2486,Cameron Diaz,1986-03-20,German
2487,Tom Miller,1990-03-04,Greek
2488,Luca Dal Monte,1920-11-06,Russian
2489,Brad Schoenfeld,1965-02-06,American
2490,Peter Westwood,1956-05-18,Canadian
2491,Zed A. Shaw,1989-04-25,Kenyan
2492,Gillian Harris,1963-05-30,American
2493,Pankaj Mishra,1947-01-06,Japanese
2494,Lisa Jewell,1938-12-01,Japanese
2495,Anita Moorjani,1957-08-23,Polish
2496,Magma Books,1981-08-26,Brazilian
2497,Allison Hadfield,1983-01-31,Thai
2498,Adult Coloring World,1929-10-16,Thai
2499,Alois Podhajsky,1931-07-02,Spanish
2500,Jess Keating,1960-04-21,French
2501,Walter Lord,1942-04-13,Russian
2502,Karl F. Kuhn,1980-05-05,Nigerian
2503,Digby Smith,1969-09-24,British
2504,Margaret Drabble,1963-12-06,Egyptian
2505,Zack Zombie,1947-08-31,Polish
2506,Brandon Stanton,1920-10-18,Japanese
2507,Susan Briscoe,1941-09-13,Kenyan
2508,Graham Hunter,1957-03-06,Russian
2509,MIV Watts,1930-07-10,Swedish
2510,James Cook,1928-07-05,Malaysian
2511,Anton Chekhov,1952-05-19,Saudi Arabian
2512,Stuart Codling,1978-02-01,Canadian
2513,Matsuri Hino,1948-08-03,American
2514,Charles Wheelan,1931-07-09,Kenyan
2515,Matt Joseph,1986-03-02,Swedish
2516,Janet Cotterell,1963-01-21,Nigerian
2517,Hillary Lang,1936-06-22,Nigerian
2518,Tupac Shakur,1938-09-02,Chinese
2519,Sandra Boynton,1987-06-14,Polish
2520,Steven Pressfield,1936-09-09,Peruvian
2521,James Gleick,1961-02-11,Kenyan
2522,Ross W. Greene,1938-08-18,Turkish
2523,Fleur McHarg,1925-09-27,Japanese
2524,Ori Hofmekler,1943-12-27,Thai
2525,Ion Teodorescu,1928-08-13,Turkish
2526,Richard Scarry,1966-03-13,Chinese
2527,Baljit Singh,1948-11-03,Brazilian
2528,Roy F. Baumeister,1985-10-14,Saudi Arabian
2529,Stefan G. Bucher,1968-06-27,German
2530,S. W. Erdnase,1933-12-01,Canadian
2531,Daniel Friebe,1948-12-03,British
2532,Mrs Hinch,1960-03-12,Irish
2533,Manuel Castells,1959-10-19,Polish
2534,Cath Kidston,1958-07-13,Irish
2535,Jodi Kantor,1948-11-03,Thai
2536,Jennifer Saunders,1929-10-20,German
2537,Kim Huggens,1944-08-07,Polish
2538,Rob Hume,1980-07-04,Malaysian
2539,Jeremy Rifkin,1934-03-08,French
2540,Salim Ismail,1973-07-22,Greek
2541,Rosalie Ham,1982-08-23,Japanese
2542,Jethro Kloss,1981-12-15,Nigerian
2543,Robert Alter,1965-03-21,Italian
2544,Blake Snyder,1930-06-11,Egyptian
2545,Cathy O'neil,1984-11-08,Chinese
2546,Robert Brooks,1930-11-16,Japanese
2547,Dr. Jerome Sarris,1923-03-31,Italian
2548,Oxford,1966-04-24,Malaysian
2549,Robert Drake,1976-06-20,Greek
2550,Erin Morgenstern,1953-08-06,Peruvian
2551,Rebecca McCarthy,1952-07-08,Thai
2552,Nigel Benson,1987-02-13,Mexican
2553,Fyodor Dostoyevsky,1928-10-14,Brazilian
2554,Christopher Felder,1977-06-11,Canadian
2555,Mike Mullane,1983-01-18,American
2556,Kristine Vejar,1964-03-18,Nigerian
2557,Georges St-Pierre,1987-08-18,American
2558,Giovanni Civardi,1959-07-20,Spanish
2559,Cesar Millan,1987-12-28,German
2560,Frederic Delavier,1980-03-19,German
2561,Trish Burr,1946-08-14,Canadian
2562,Sir James George Frazer,1977-05-11,Korean
2563,Chris Scarre,1938-06-19,Spanish
2564,Pati Palmer,1986-08-02,American
2565,Bruno Bettelheim,1972-06-09,Russian
2566,June Hemmons Hiatt,1921-03-28,Nigerian
2567,Eric Orton,1934-05-28,Brazilian
2568,Elizabeth Letts,1935-12-01,Malaysian
2569,Anne-Marie O'Connor,1986-12-13,Irish
2570,Tucker Max,1958-12-01,Nigerian
2571,Jolene Cox,1964-05-03,Egyptian
2572,Ellen Dugan,1928-04-04,German
2573,Olivia Fox Cabane,1958-04-09,British
2574,Jeffrey Quill,1984-06-11,British
2575,Carl R. Rogers,1984-08-22,Japanese
2576,Radhanath Swami,1958-01-23,Portuguese
2577,Katie Blackburn,1958-12-18,Portuguese
2578,Tom Gardner,1945-03-21,Israeli
2579,Anna Akana,1950-03-10,Indian
2580,Lindsey Biel,1986-10-30,Egyptian
2581,Robin Wall Kimmerer,1984-05-02,Chinese
2582,Karl Ove Knausgaard,1956-05-27,Peruvian
2583,Ravi Zacharias,1920-04-20,Spanish
2584,John Taylor Gatto,1972-02-19,Korean
2585,Mary Robinson,1972-01-13,Israeli
2586,R.H. Warring,1934-03-11,Canadian
2587,Sarah Ballantyne,1987-11-20,Portuguese
2588,James Clear,1930-12-25,Polish
2589,Milton Roth,1971-05-22,Peruvian
2590,Erika Christakis,1971-07-22,Russian
2591,Pippa Mattinson,1973-07-26,Peruvian
2592,Dianne Page,1939-01-02,Jamaican
